Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Hotelbuuk Technologies,"Jan 4, 2022","Berlin, Berlin, Germany","Food Delivery, Hospitality, Hotel,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2022",—,—,—,Book Hotels that offer market insights
Superbryte,2021,"Berlin, Berlin, Germany","Consulting, Education, Software,",—,1,—,Pre-Seed,"Sep 20, 2021",—,1,—,"Superbryte we are building a universal, digital suite for coaches, teachers, educators and instructors."
vCOACH,"Jan 1, 2020","Munich, Bayern, Germany","Mobile Apps, Software",1-10,1,—,Pre-Seed,"May 17, 2021",—,4,2,vCOACH helps in building a consumer mobile app for getting access to personal skill improvement.
MeTalent,"Sep 14, 2022","Stuttgart, Baden-Wurttemberg,","Automotive, Education, Finance,,,,,",1-10,1,—,Pre-Seed,"Jul 16, 2023",—,1,—,"We are a group of ambitious Ukrainians, who created a platform to quickly and simply bind businesses and talents from IT"
Shiawa,2021,"Stuttgart, Baden-Wurttemberg,","Apps, Mobile Apps, Software",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,1,—,"SHIAWA GmbH offers web-based solutions for office management, including desk booking and meeting organization."
goCAD,"Sep 6, 2021","Stuttgart, Baden-Wurttemberg,","E-Commerce Platforms, Manufacturing,,",1-10,1,—,Pre-Seed,"Oct 5, 2021",—,1,—,The plug & play SaaS order portal for CNC manufacturers with instant price quotes.
eye2you,"Apr 21, 2020","Tübingen, Baden-Wurttemberg,","Artificial Intelligence (AI), Health Care,,",1-10,1,—,Pre-Seed,"May 1, 2021",—,—,—,eye2you is a medical AI for retinal examinations.
HumanAIze,"Mar 28, 2022","Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,—,Pre-Seed,"Oct 6, 2022",—,1,—,HumanAIze offers empathetic AI to unlock the power of people and culture.
up.lftd,"Jul 20, 2021","Berlin, Berlin, Germany","Human Resources, SaaS, Software",1-10,1,—,Pre-Seed,"Dec 13, 2021",—,1,—,"SaaS for feedback, performance management and people development"
Swap Kiwi,2021,"Munich, Bayern, Germany","Blockchain, Cryptocurrency, Financial Services,,",—,1,—,Pre-Seed,"Oct 10, 2021",—,1,—,Swap Kiwi is an NFT swapping platform that aims to make NFT exchanges simpler.
Ecola Climo,Apr 2020,"Berlin, Berlin, Germany","Apps, Information Technology,",1-10,1,—,Pre-Seed,"Jun 1, 2020",—,—,—,With Ecola you can subscribe to climate action and start generating impact straight away.
nextx,2021,"Heidelberg, Baden-Wurttemberg,","Artificial Intelligence (AI), Career Planning,,",11-50,1,—,Pre-Seed,"Nov 2, 2022",—,1,—,Real career orientation and sustainable recruiting
Civical,"Nov 27, 2020","Moabit, Berlin, Germany","Data Integration, Data Visualization,,,,,,",1-10,1,—,Pre-Seed,"Feb 7, 2021",—,2,—,Civical is SaaS market leader in Germany for politics and non-profit
DataPulse Research,Sep 2023,"Berlin, Berlin, Germany","Data Visualization, Digital Media",1-10,1,—,Pre-Seed,"Jun 23, 2024",—,2,—,DataPulse Research is an independent research institute that publishes data driven studies and infographics.
klaep,"Jun 2, 2021","Freiburg, Baden-Wurttemberg,","Android, Information Technology,,,,,,,,",1-10,1,—,Pre-Seed,"Jul 1, 2021",—,2,—,Mobile Music Collaboration App
CLUP.life GmbH,"May 9, 2022","Berlin, Berlin, Germany","Information Technology, Internet,,",1-10,1,—,Pre-Seed,"Oct 1, 2022",—,—,1,"CLUP.life is a social network for community clubs, associations and its members and makes messenger services interoperable"
propertunity.ai,"Oct 4, 2021","Frankfurt, Hessen, Germany",Artificial Intelligence (AI),1-10,1,—,Pre-Seed,"Oct 14, 2021",—,1,—,The world's first tool for automated property search for real estate development based on artificial intelligence
oestreicher,"Oct 18, 2021","Heidenheim, Baden-Wurttemberg,","Artificial Intelligence (AI), EdTech,,",1-10,1,—,Pre-Seed,"Nov 1, 2021",—,—,—,EdTech Services for Children
Hidden Smiles,"Aug 2, 2022","Berlin, Berlin, Germany","Enterprise Software, Human Resources,,",1-10,1,—,Pre-Seed,"Oct 20, 2022",—,1,—,"Hidden Smiles is a SaaS solution that helps individuals feel valued and appreciated for their work, regardless of where they do it."
Alethea,2021,"Düsseldorf, Nordrhein-Westfalen,",Software,1-10,1,—,Pre-Seed,"Jan 11, 2021",—,1,4,Workflow software for the corporate finance industry
Coinformation,2021,"Düsseldorf, Nordrhein-Westfalen,","Financial Services, Information Technology,,",1-10,1,—,Pre-Seed,"Oct 12, 2021",—,—,—,Coinformation brings transparency into the crypto world to help its customers make better investment decisions.
Value Cloud,"Oct 25, 2021","Kaiserslautern, Rheinland-Pfalz,","Artificial Intelligence (AI), Cloud Management,,",1-10,1,—,Pre-Seed,"Oct 25, 2021",—,1,—,We stand for holistic value creation with open source cloud and AI technology.
Clustered,May 2021,"Berlin, Berlin, Germany","Business Development, Communities,,",1-10,1,—,Pre-Seed,"Nov 20, 2021",—,—,—,We're making learning social.
Hatchmate UG (haftungsbeschränkt),"Oct 13, 2020","Villingen-schwenningen, Baden-Wurttemberg,","Apps, Software",1-10,1,—,Pre-Seed,"Oct 13, 2020",—,—,—,Social Video Networking App
Jungle Program,2020,"Berlin, Berlin, Germany","Corporate Training, Education,,",1-10,2,—,Pre-Seed,"Sep 1, 2021",—,1,—,Jungle Program helps guide developers through their technical challenges.
Perkio,2021,"Berlin, Berlin, Germany",Software,1-10,1,—,Pre-Seed,"Dec 17, 2021",—,1,—,Perkio is a platform that helps companies and employees create and improve wellbeing while keeping personal data anonymized.
Vilosia,2022,"Halle, Sachsen-Anhalt, Germany","Generative AI, Information Technology,,",1-10,2,—,Pre-Seed,"Mar 10, 2024",—,—,—,Vilosia helps medium and large enterprises with internal development teams migrate legacy software systems.
Retalos,2020,"Berlin, Berlin, Germany","Information Technology, Retail,",1-10,1,—,Pre-Seed,"Aug 1, 2021",—,—,—,The Next Step for Retail Technology
valideffect,2020,"Aachen, Nordrhein-Westfalen,","Industrial, Information Technology,,,,",1-10,1,—,Pre-Seed,"Jul 1, 2020",—,1,—,valideffect: SaaS platform for the digital assurance of personal industrial qualifications
ParcelBox Platform,"Aug 1, 2021","Berlin, Berlin, Germany","Internet of Things, Logistics, Mobile Apps",1-10,1,—,Pre-Seed,"Feb 1, 2022",—,1,—,The platform manages authorized access to smart PostBoxes for parcels.
Biralabs,"Dec 16, 2021","Munich, Bayern, Germany","Art, Artificial Intelligence (AI),,",1-10,1,—,Pre-Seed,"May 20, 2022",—,1,—,AI generated Illustrations
alfatier GmbH,"May 12, 2021","Hamburg, Hamburg, Germany","SaaS, Software",1-10,1,—,Pre-Seed,"May 15, 2021",—,1,—,"SaaS, HRtech, Talent Management, Skills Management"
independesk,2020,"Berlin, Berlin, Germany","Internet, Mobile Apps, Rental,",11-50,1,—,Pre-Seed,"Mar 24, 2021",—,2,—,"Workspace Platform, Coworking Provider and SaaS for Management of Hybrid Working"
Yuaco,"Jun 20, 2020","Berlin, Berlin, Germany","Information Services, Internet,,,",1-10,1,—,Pre-Seed,"May 25, 2020",—,—,—,Fast and time-saving email for business people
Black Forest Labs,2024,"Freiburg Im Breisgau, Baden-Wurttemberg,","Artificial Intelligence (AI), Generative AI,,",11-50,1,"€28,000,000",Seed,"Aug 1, 2024","€28,000,000",8,14,"Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency."
constellr,2020,"Freiburg, Baden-Wurttemberg,","Agriculture, Database, Geospatial,",51-100,7,"€33,454,397",Seed,"Jul 24, 2023","€17,000,000",14,21,"constellr develops an imaging technology to assess vegetation, soil health, and industrial monitoring for the agriculture sector."
lemon.markets,2020,"Berlin, Berlin, Germany","Developer APIs, Enterprise Applications,,,",11-50,3,"€27,000,000",Seed,"Jul 11, 2024","€12,000,000",7,23,"Lemon.markets is a FinTech platform that offers an easy-to-use API for stock trading, order execution, and market data retrieval."
SynthFlow AI,Jul 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Productivity Tools,",11-50,2,"$8,984,617",Seed,"Jun 27, 2024","$7,400,000",3,17,"Synthflow AI empowers businesses to build customizable, no-code AI voice assistants that handle a variety of tasks."
NAO,Jan 2022,"Berlin, Berlin, Germany","Financial Services, Funding Platform,",1-10,2,"€5,000,000",Seed,"Dec 9, 2024","€3,400,000",6,8,NAO offers innovative investment opportunities including private equity and hedge funds.
Akhetonics,2021,"Berlin, Berlin, Germany","Network Hardware, Semiconductor,",1-10,4,"$8,636,152",Seed,"Nov 28, 2024","€6,000,000",8,7,Akhetonics is creating the world's first all-optical XPU - a general-purpose photonic RISC processor for high-performance computing
Flagright,Nov 2021,"Berlin, Berlin, Germany","Compliance, Financial Services,,,,,",11-50,1,"$2,800,000",Seed,"Jul 7, 2022","$2,800,000",11,76,"AI-native AML compliance & risk management platform to monitor, screen, investigate, and report"
ARX Robotics,2021,"München, Bayern, Germany","Autonomous Vehicles, Drones,,",11-50,2,"€10,150,000",Seed,"Jun 10, 2024","€9,000,000",3,3,ARX is a defense technology company that specializes in the development of autonomous unmanned systems for dual-use applications.
tl;dv,Apr 2020,"Köln, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Meeting Software,,",11-50,2,"€4,300,000",Seed,"Jun 16, 2022","€4,300,000",6,10,Join fewer & host leaner live meetings. Catch up on meetings in minutes.
Monite,2020,"Berlin, Berlin, Germany","Financial Services, FinTech, Payments,,",11-50,4,"$17,445,838",Seed,"Feb 19, 2024","$6,000,000",25,52,Monite is an add invoicing and payables automation management platform.
Venta,"Sep 1, 2022","Munich, Bayern, Germany","B2B, Lead Generation, SaaS, Sales Automation,,",1-10,2,"$2,500,000",Seed,"Jan 8, 2025","$2,000,000",1,—,Venta is an AI-worker for highly targeted outreach in Germany
Cambrium,Aug 2020,"Berlin, Berlin, Germany","Advanced Materials, Bioinformatics,,,",11-50,3,"€8,000,000",Seed,"Jun 20, 2024",—,12,4,Cambrium is engineering biology to create high-performance proteins.
Payrails,2021,"Berlin, Berlin, Germany","Developer APIs, Enterprise Software,,,,",51-100,2,"$21,818,153",Seed,"Jun 7, 2023","€14,400,000",7,32,Payrails enables high-growth companies to craft their payment experiences and financial services globally.
Passionfroot,2021,"Berlin, Berlin, Germany","Information Technology, Web Browsers,",1-10,2,"$7,187,048",Seed,"Oct 21, 2024","$3,800,000",21,8,"Passionfroot is a tool that helps creators keep track of their clients, cashflow and projects."
Root Global,2022,"Berlin, Berlin, Germany","B2B, Food and Beverage, SaaS,",11-50,2,"€10,500,000",Seed,"Aug 19, 2024","€8,000,000",14,1,Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.
Aware,2021,"Berlin, Berlin, Germany","Apps, Health Care, Software, Wellness",11-50,2,"$15,000,000",Seed,"Jun 30, 2022","$15,000,000",11,4,Aware is a mobile app for evaluating health data and for researching chronic diseases.
trawa,2022,"Berlin, Berlin, Germany","Clean Energy, CleanTech, Renewable Energy,",1-10,3,"€12,400,000",Seed,"May 15, 2024","€10,000,000",14,25,Renewable Energy-as-a-Service
Kipu Quantum,2021,"Karlsruhe, Baden-Wurttemberg,","Hardware, Information Technology,",11-50,2,"€13,500,000",Seed,"Dec 19, 2023","€10,500,000",7,11,Kipu Quantum is a software company that develops application and hardware-specific quantum computing solutions for industrial use.
Langfuse,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Developer Tools,",1-10,1,"$4,000,000",Seed,"Nov 7, 2023","$4,000,000",3,1,Open source observability & analytics for LLM apps
juna.ai,"Aug 26, 2024","Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,"$7,500,000",Seed,"Nov 18, 2024","$7,500,000",4,2,Juna.ai is a platform focused on enhancing the content creation process through the use of AI-powered tools.
Metergrid,2020,"Stuttgart, Baden-Wurttemberg,","Billing, Consulting, Energy Management,,,,,",11-50,3,"€6,200,000",Seed,"Dec 4, 2024","€3,500,000",8,9,Metergrid develops SaaS products for problems of decentralized energy systems.
Langdock,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Database,",1-10,2,"$3,500,000",Seed,"Apr 19, 2024","$3,000,000",7,12,"Langdock is an interactive chat assistant for teams of any size, complete with full privacy settings to ensure compliance."
Kombo,"May 30, 2022","Berlin, Berlin, Germany","Consulting, Human Resources,",11-50,1,"$7,800,000",Seed,"Nov 15, 2022","$7,800,000",10,—,"Kombo is an API for HR, Payroll, ATS and Recruiting integrations"
Frontnow,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,",11-50,3,"€6,500,000",Seed,"Mar 12, 2024","€3,800,000",6,14,Enterprise-Grade AI Supercharging Customer Experience
syte,"Jul 21, 2021","Münster, Nordrhein-Westfalen,","Artificial Intelligence (AI), CleanTech,,",11-50,3,"€8,200,000",Seed,"Sep 26, 2024","€5,000,000",6,—,"Syte offers real-time, AI-driven data and insights about plots for banks, real estate agents, project developers, planners, and authorities."
Layla,2022,"Berlin, Berlin, Germany","Software, Travel",11-50,1,"€3,000,000",Seed,"Nov 29, 2023","€3,000,000",5,—,Layla operates as a travel discovery platform.
allO,2021,"Munich, Bayern, Germany","Food and Beverage, Payments,,,",11-50,2,"$6,489,425",Seed,"Jul 9, 2024","$5,000,000",13,18,allO is an all-in-one restaurant management system. Our mission is to help local restaurants thrive. We strive to democratize gastronomy.
Floy,Jun 2021,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,",11-50,3,"€8,800,000",Seed,"Nov 16, 2023","€5,400,000",5,4,Developing AI to support radiologists in seeing diseases difficult to detect.
Midas,2023,"Berlin, Berlin, Germany","Cryptocurrency, Web3",1-10,2,"$8,750,000",Seed,"Mar 28, 2024","$8,750,000",15,—,Midas is a cryptocurrency application that allows users to sell and invest in cryptocurrency and tokens.
Cello,"Jan 4, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,",11-50,2,"€6,300,000",Seed,"Jul 20, 2023","€4,000,000",10,2,All-in-one Referral Platform to amplify word-of-mouth
GlassFlow,"Apr 25, 2023","Berlin, Berlin, Germany","Big Data, Cloud Data Services,,,,,,",1-10,2,"$5,900,000",Seed,"Oct 29, 2024","$4,800,000",9,9,GlassFlow is a next-gen data streaming infrastructure company on a mission to democratize data streaming.
Deltia,Nov 2022,"Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,,,,",11-50,2,"€6,100,000",Seed,"Apr 26, 2024","€4,500,000",11,5,Unlocking a new level of productivity in manual processes with the power of computer vision and AI-based analytics
Smalt,Apr 2023,"Berlin, Berlin, Germany","EdTech, SaaS, Skill Assessment,,",1-10,2,"€12,100,000",Seed,"Sep 16, 2024","€8,000,000",9,—,Labour supply & productivity in the climate trades
Amie,"Jan 1, 2020","Berlin, Berlin, Germany","Productivity Tools, Software",1-10,3,"$8,300,000",Seed,"Nov 28, 2022","$7,000,000",11,5,The joyful productivity app
Sereact,Nov 2021,"Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Machine Learning,",11-50,1,"$5,000,000",Seed,"Aug 8, 2023","$5,000,000",10,3,Sereact created an adaptable AI in order to commercialise a new era of intelligent robots.
Tanso,2021,"Munich, Bayern, Germany","Business Intelligence, Enterprise Software,,,",11-50,3,"$8,943,099",Seed,"Apr 18, 2023","€4,000,000",5,2,Tanso enables industrial companies to achieve their sustainability targets.
synthavo,"May 16, 2022","Stuttgart, Baden-Wurttemberg,","Apps, E-Commerce, Marketing,",1-10,1,"€4,000,000",Seed,"Dec 17, 2024","€4,000,000",2,—,Visual spare part ordering
nuvo,Oct 2020,"Hamburg, Hamburg, Germany","B2B, Business Intelligence, Data Integration,,,,",11-50,2,"€4,600,000",Seed,"Dec 12, 2023","€3,000,000",6,—,"nuvo offer you and your clients to automatically map, validate clean and import spreadsheet data!"
Kertos,"Nov 10, 2021","München, Bayern, Germany","Artificial Intelligence (AI), Compliance,,,,",51-100,2,"€5,000,000",Seed,"May 4, 2023","€4,000,000",14,6,Kertos is a software company based in Europe that develops and provides a holistic compliance and privacy platform.
